#TAXON,TAXID,NAME
acellular root,10239,Viruses
realm,2840022,Adnaviria
kingdom,2840023,Zilligvirae
phylum,2840024,Taleaviricota
class,2841637,Tokiviricetes
order,1511857,Ligamenvirales
family,10477,Lipothrixviridae
genus,341940,Betalipothrixvirus
species,346881,Betalipothrixvirus acidiani
species,3427236,Betalipothrixvirus hveragerdiense
no rank,176106,Sulfolobus islandicus filamentous virus
no rank,1902331,Sulfolobus islandicus filamentous virus 2
no rank,654908,Sulfolobus islandicus filamentous virus (isolate Hveragerdi)
species,346883,Betalipothrixvirus pezzuloense
species,346882,Betalipothrixvirus pozzuoliense
species,346884,Betalipothrixvirus puteoliense
species,512792,Betalipothrixvirus uzonense
no rank,2788071,unclassified Betalipothrixvirus
species,3234118,Fusarium pseudograminearum betalypovirus 1
species,3234119,Fusarium pseudograminearum betalypovirus 1-1
species,3234120,Fusarium pseudograminearum betalypovirus 1-2
species,3234121,Fusarium pseudograminearum betalypovirus 1-3
species,3234122,Fusarium pseudograminearum betalypovirus 1-4
genus,564646,Deltalipothrixvirus
species,3428205,Deltalipothrixvirus beppuense
no rank,2734585,Deltalipothrixvirus SBFV3
no rank,2493124,Sulfolobales Beppu filamentous virus 3
species,300186,Deltalipothrixvirus pozzuoliense
no rank,654910,Acidianus filamentous virus 2 (isolate Pozzuoli)
genus,341941,Gammalipothrixvirus
no rank,341942,unclassified Lipothrixviridae
genus,341939,Alphalipothrixvirus
species,2734584,Alphalipothrixvirus beppuense
no rank,2493122,Sulfolobales Beppu filamentous phage 1
no rank,2304198,Sulfolobus filamentous virus 1
species,2734583,Alphalipothrixvirus umijigokuense
no rank,2493123,Sulfolobales Beppu filamentous virus 2
family,157897,Rudiviridae
genus,2842391,Azorudivirus
species,3426586,Azorudivirus furnasense
no rank,2843747,Azorudivirus SRV
no rank,537009,Stygiolobus rod-shaped virus
genus,2842738,Hoswirudivirus
species,3429803,Hoswirudivirus acidiani
no rank,2844857,Hoswirudivirus ARV3
no rank,2730617,Acidianus rod-shaped virus 3
species,3429804,Hoswirudivirus metallosphaerae
no rank,2730618,Metallosphaera rod-shaped virus 1
species,3429805,Hoswirudivirus pozzuoliense
no rank,2844856,Hoswirudivirus ARV2
no rank,1732175,Acidianus rod-shaped virus 2
species,3429806,Hoswirudivirus saccharolobi
no rank,2844859,Hoswirudivirus SSRV1
no rank,2730619,Saccharolobus solfataricus rod-shaped virus 1
genus,2842752,Icerudivirus
species,3429890,Icerudivirus gunnuhverense
no rank,2845002,Icerudivirus SIRV3
no rank,2848124,Sulfolobus islandicus rod-shaped virus 3
species,3429891,Icerudivirus hveragerdiense
no rank,2845001,Icerudivirus SIRV2
no rank,157899,Sulfolobus islandicus rod-shaped virus 2
species,3429892,Icerudivirus kverkfjoellense
no rank,2845000,Icerudivirus SIRV1
no rank,157898,Sulfolobus islandicus rod-shaped virus 1
no rank,282066,Sulfolobus islandicus rudivirus 1 variant XX
genus,2842769,Itarudivirus
species,3429989,Itarudivirus pozzuoliense
no rank,2845023,Itarudivirus ARV1
no rank,309181,Acidianus rod-shaped virus 1
genus,2842772,Japarudivirus
species,3429999,Japarudivirus beppuense
no rank,2845027,Japarudivirus SBRV1
no rank,2493121,Sulfolobales Beppu rod-shaped virus 1
genus,2842866,Mexirudivirus
species,3430843,Mexirudivirus azufresense
no rank,2845586,Mexirudivirus SMRV1
no rank,2848122,Sulfolobales Mexican rod-shaped virus 1
genus,187213,Rudivirus
no rank,351054,unclassified Rudivirus
species,1245909,Sulfolobales Mexican rudivirus 1
species,1895333,Sulfolobus islandicus rudivirus 3
genus,2843109,Usarudivirus
species,3433083,Usarudivirus acidum
no rank,2846588,Usarudivirus SIRV10
no rank,1983545,Sulfolobus islandicus rod-shaped virus 10
species,3433084,Usarudivirus aestus
no rank,2846593,Usarudivirus SIRV9
no rank,1983552,Sulfolobus islandicus rod-shaped virus 9
species,3433085,Usarudivirus caloris
no rank,2846592,Usarudivirus SIRV8
no rank,1983551,Sulfolobus islandicus rod-shaped virus 8
species,3433086,Usarudivirus dryadis
no rank,2846589,Usarudivirus SIRV11
no rank,1983546,Sulfolobus islandicus rod-shaped virus 11
species,3433087,Usarudivirus nymphense
no rank,2846591,Usarudivirus SIRV5
no rank,1983549,Sulfolobus islandicus rod-shaped phage 6
no rank,1983548,Sulfolobus islandicus rod-shaped virus 5
species,3433088,Usarudivirus yellowstonense
no rank,2846590,Usarudivirus SIRV4
no rank,1983547,Sulfolobus islandicus rod-shaped virus 4
no rank,2852871,unclassified Usarudivirus
species,2968489,Sulfolobus islandicus rod-shaped virus
species,1983550,Sulfolobus islandicus rod-shaped virus 7
family,2946183,Ungulaviridae
genus,2948650,Captovirus
species,3427721,Captovirus yellowstonense
no rank,235266,Captovirus AFV1
no rank,654909,Acidianus filamentous virus 1 (isolate Yellowstone)
no rank,2497330,unclassified Ligamenvirales
species,2832923,Ligamenvirales sp.
species,3109999,Ligamenvirales sp. Chiyou-1
order,3044431,Maximonvirales
family,3044453,Ahmunviridae
genus,3044865,Yumkaaxvirus
species,3060824,Yumkaaxvirus pescaderoense
no rank,2987731,Methanophagales virus PBV300
order,2841641,Primavirales
family,2022738,Tristromaviridae
genus,2022739,Alphatristromavirus
species,2843679,Alphatristromavirus pozzuoliense
no rank,1805492,Pyrobaculum filamentous virus 1
species,2843680,Alphatristromavirus puteoliense
no rank,2730621,Pyrobaculum filamentous virus 2
genus,2842549,Betatristromavirus
species,3427428,Betatristromavirus kraflaense
no rank,2843841,Betatristromavirus TTV1
no rank,10479,Thermoproteus tenax virus 1
no rank,10480,Thermoproteus tenax virus 1 (STRAIN KRA1)
no rank,10481,Thermoproteus tenax virus 1 (STRAIN VT3)
realm,2731341,Duplodnaviria
kingdom,2731360,Heunggongvirae
phylum,2731361,Peploviricota
class,2731363,Herviviricetes
order,548681,Herpesvirales
family,548682,Alloherpesviridae
genus,692605,Batrachovirus
no rank,1987508,unclassified Batrachovirus
species,2282206,Bufonid herpesvirus 1
genus,3044671,Batravirus
species,3050346,Batravirus ranidallo1
no rank,85655,Ranid herpesvirus 1
species,3050347,Batravirus ranidallo2
no rank,389214,Ranid herpesvirus 2
species,3048291,Batravirus ranidallo3
no rank,1987509,Ranid herpesvirus 3
genus,692606,Cyprinivirus
no rank,1191383,unclassified Cyprinivirus
